audio,label
28,1
15,1
4,1
1,1
-10,1
-16,1
-25,1
-26,1
-43,1
-47,1
-46,1
-39,1
-52,1
-58,1
-61,1
-68,1
-63,1
-70,1
-62,1
-59,1
-41,1
-47,1
-41,1
-39,1
-33,1
-42,1
-34,1
-29,1
-24,1
-28,1
-6,1
-15,1
-24,1
-30,1
2,1
-4,1
9,1
3,1
-1,1
-3,1
-15,1
10,1
-1,1
2,1
1,1
17,1
7,1
4,1
15,1
17,1
15,1
12,1
-3,1
-2,1
-10,1
10,1
12,1
-6,1
-9,1
-12,1
-6,1
1,1
13,1
11,1
21,1
15,1
0,1
2,1
-2,1
-3,1
-23,1
-23,1
-34,1
-48,1
-41,1
-38,1
-49,1
-68,1
-78,1
-87,1
-92,1
-101,1
-113,1
-109,1
-120,1
-113,1
-113,1
-112,1
-114,1
-103,1
-81,1
-85,1
-83,1
-66,1
-51,1
-56,1
-52,1
-47,1
-45,1
-52,1
-42,1
-40,1
-48,1
-57,1
-57,1
-58,1
-76,1
-74,1
-82,1
-93,1
-111,1
-105,1
-93,1
-117,1
-112,1
-106,1
-115,1
-107,1
-85,1
-88,1
36,1
30,1
24,1
23,1
18,1
13,1
2,1
-17,1
-30,1
-39,1
-49,1
-58,1
-64,1
-77,1
-82,1
-81,1
-77,1
-84,1
-79,1
-72,1
-75,1
-75,1
-73,1
-68,1
-67,1
-50,1
-39,1
-21,1
-17,1
-4,1
0,1
10,1
23,1
18,1
15,1
15,1
21,1
19,1
21,1
20,1
7,1
4,1
4,1
13,1
5,1
-10,1
-18,1
-17,1
-22,1
-19,1
-19,1
-25,1
-30,1
-24,1
-18,1
-19,1
-9,1
-6,1
-4,1
2,1
6,1
6,1
14,1
23,1
32,1
32,1
30,1
29,1
35,1
37,1
37,1
43,1
40,1
36,1
29,1
24,1
18,1
3,1
-3,1
-13,1
-22,1
-39,1
-44,1
-52,1
-64,1
-76,1
-75,1
-76,1
-80,1
-77,1
-73,1
-79,1
-80,1
-68,1
-66,1
-62,1
-57,1
-49,1
-54,1
-52,1
-38,1
-31,1
-23,1
-16,1
-7,1
1,1
-1,1
17,1
7,1
-2,1
-6,1
-9,1
-13,1
-24,1
-24,1
-27,1
-30,1
-30,1
-33,1
-32,1
-32,1
-32,1
-28,1
-28,1
-28,1
-28,1
-18,1
-9,1
-7,1
-8,1
-4,1
-7,1
2,1
8,1
7,1
6,1
5,1
12,1
14,1
18,1
9,1
4,1
2,1
0,1
-1,1
0,1
-2,1
2,1
8,1
10,1
8,1
5,1
7,1
15,1
16,1
14,1
17,1
18,1
21,1
25,1
27,1
30,1
37,1
38,1
45,1
45,1
36,1
39,1
34,1
33,1
32,1
33,1
35,1
32,1
27,1
25,1
24,1
19,1
14,1
5,1
-3,1
-17,1
48,1
45,1
49,1
56,1
60,1
60,1
63,1
59,1
58,1
57,1
50,1
40,1
35,1
32,1
28,1
19,1
15,1
6,1
-2,1
-10,1
-13,1
-12,1
-12,1
-16,1
-14,1
-8,1
-8,1
-1,1
2,1
10,1
22,1
28,1
35,1
48,1
47,1
53,1
57,1
59,1
70,1
65,1
64,1
63,1
61,1
58,1
60,1
60,1
48,1
39,1
34,1
31,1
23,1
22,1
17,1
5,1
-1,1
-7,1
-14,1
-18,1
-19,1
-18,1
-15,1
-17,1
-18,1
-18,1
-11,1
-1,1
-2,1
2,1
3,1
2,1
-3,1
1,1
4,1
2,1
2,1
54,1
49,1
49,1
44,1
35,1
29,1
22,1
22,1
23,1
19,1
15,1
10,1
1,1
0,1
-12,1
-21,1
-22,1
-21,1
-25,1
-26,1
-20,1
-20,1
-22,1
-16,1
